Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score,FinansmanGideri_EBIT_%,DebtShareOfCapital_%
1,ARASE,"ARASE - Doğu Aras Enerji 
	Hisse Senedi",2026/6,June,8.703.383.456,False,33.118.000.000,0.262799186424301,0.3572416850191646,32.175,943,1.297.336.597,0.8,3.0,4.0,7.0,14.9,3.9
2,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/3,March,5.319.469.000,False,25.280.290.400,0.2104196160658027,0.3359224042825541,29.159,-3.878,3.001.528.000,3.7,5.0,7.0,12.0,56.4,-24.5
3,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/6,June,38.343.687.000,False,221.925.079.500,0.1727776197548944,0.3444231721257625,140.075,81.850,29.083.281.000,7.7,8.0,5.0,13.0,75.8,73.5
4,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/6,June,3.712.889.353,False,26.608.500.000,0.1395377173835428,0.4661168705433294,27.000,-392,61.147.098,7.8,15.0,2.0,17.0,1.6,-4.9
5,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/6,June,49.588.416.000,False,314.422.500.000,0.1577126827755647,0.2417850361438487,193.900,120.522,47.155.432.000,43.6,11.0,14.0,25.0,95.1,58.8
6,CLEBI,"CLEBI - Çelebi 
	Hisse Senedi",2026/6,June,4.857.594.391,False,41.932.400.000,0.1158434621199835,0.3424465351477972,35.527,6.406,1.043.513.420,1.0,20.0,6.0,26.0,21.5,45.2
7,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/6,June,3.856.667.731,False,33.165.100.000,0.1162869320761885,0.3344456247115929,27.008,6.157,2.482.987.037,15.4,19.0,8.0,27.0,64.4,53.4
8,GRSEL,"GRSEL - Gürsel Taşımacılık 
	Hisse Senedi",2026/6,June,3.781.171.591,False,29.091.400.000,0.1299755801027107,0.2788424777631283,30.600,-1.509,204.998.460,3.2,16.0,11.0,27.0,5.4,-11.1
9,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/6,June,31.023.911.000,False,253.791.788.160,0.1222415871881612,0.3036832655112932,223.846,29.946,11.670.835.000,10.5,18.0,10.0,28.0,37.6,29.3
10,ARDYZ,"ARDYZ - ARD Grup Bilişim 
	Hisse Senedi",2026/6,June,2.603.901.925,False,27.509.105.001,0.0946560029809955,2.297308811337798,25.991,1.518,944.045.434,7.5,28.0,1.0,29.0,36.3,133.9
11,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/6,June,12.503.102.000,False,85.847.842.162,0.1456425890863217,0.2135624090182964,65.963,19.885,3.949.004.000,7.0,13.0,16.0,29.0,31.6,34.0
12,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,100.269.225.000,0.1814543395543348,0.1850546539354375,100.266,4,11.149.253.000,21.8,7.0,23.0,30.0,61.3,0.0
13,TBORG,"TBORG - Tuborg 
	Hisse Senedi",2026/6,June,6.196.509.000,False,42.561.230.661,0.1455904564732905,0.1885925202242472,44.184,-1.622,3.257.057.000,0.7,14.0,22.0,36.0,52.6,-4.9
14,INVES,"INVES - Investco Holding 
	Hisse Senedi",2026/6,June,13.215.978.559,False,137.849.100.000,0.0958727953900315,0.3076987800494339,142.500,-4.651,59.609.521,1.6,27.0,9.0,36.0,0.5,-10.8
15,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/6,June,30.214.835.000,False,180.878.984.180,0.1670444752717396,0.1561600800321292,115.224,65.655,22.981.548.000,18.8,9.0,27.0,36.0,76.1,33.9
16,TRENJ,"TRENJ - TR Doğal Enerji Kaynakları 
	Hisse Senedi",2026/6,June,7.207.747.000,False,7.358.404.749,0.97952575947038,0.1211997691675427,28.343,-20.984,55.684.000,4.1,1.0,36.0,37.0,0.8,-35.3
17,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/6,June,7.184.466.000,False,33.362.460.000,0.2153458108304963,0.1201019784213612,55.107,-21.745,,16.1,4.0,37.0,41.0,,-36.4
18,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/6,June,9.913.209.000,False,96.292.854.820,0.1029485419098043,0.2113348066695031,83.043,13.250,5.498.412.000,6.5,24.0,17.0,41.0,55.5,28.2
19,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/6,June,50.457.954.000,False,320.820.700.000,0.1572777380013197,0.1404952797533016,223.960,96.861,36.241.898.000,59.7,12.0,30.0,42.0,71.8,27.0
20,TUPRS,"TUPRS - Tüpraş 
	Hisse Senedi",2026/6,June,82.511.223.000,False,667.457.176.472,0.1236202499704835,0.1576487097907291,798.175,-130.718,24.317.996.000,184.4,17.0,26.0,43.0,29.5,-25.0
21,DOHOL,"DOHOL - Doğan Holding 
	Hisse Senedi",2026/6,June,11.026.854.000,False,12.895.915.956,0.8550655910906486,0.1060213623903336,56.265,-43.370,9.726.593.000,5.2,2.0,43.0,45.0,88.2,-41.7
22,ULKER,"ULKER - Ülker Bisküvi 
	Hisse Senedi",2026/6,June,12.416.232.000,False,77.607.473.458,0.1599875816944289,0.1235408883297503,35.506,42.102,15.752.359.000,13.1,10.0,35.0,45.0,126.9,41.9
23,GUBRF,"GUBRF - Gübre Fabrikaları 
	Hisse Senedi",2026/3,March,11.372.906.180,False,166.472.800.000,0.0683169033019207,0.2756768656269178,171.008,-4.535,2.271.621.446,29.9,37.0,12.0,49.0,20.0,-11.0
24,OYAKC,"OYAKC - Oyak Çimento 
	Hisse Senedi",2026/6,June,10.102.534.000,False,98.050.856.424,0.1030336130503658,0.1460152384039612,108.804,-10.753,1.682.447.000,8.8,23.0,29.0,52.0,16.7,-15.5
25,PAHOL,"PAHOL - Pasifik Holding 
	Hisse Senedi",2026/6,June,4.903.813.174,False,26.599.400.000,0.1843580371737708,0.0958271785425423,26.600,-1,294.996.172,7.4,6.0,47.0,53.0,6.0,-0.0
26,SARKY,"SARKY - Sarkuysan 
	Hisse Senedi",2026/6,June,3.124.201.461,False,34.995.000.000,0.0892756525503643,0.1753892745824126,26.220,8.775,2.036.532.342,3.6,30.0,24.0,54.0,65.2,49.3
27,GESAN,"GESAN - Girişim Elektrik 
	Hisse Senedi",2026/6,June,3.527.866.000,False,33.804.400.000,0.1043611482528901,0.1255162532288397,29.164,4.640,565.125.000,24.7,22.0,34.0,56.0,16.0,16.5
28,EUPWR,"EUPWR - Europower Enerji 
	Hisse Senedi",2026/6,June,3.233.811.000,False,52.837.000.000,0.0612035316161023,0.1914395699947289,49.896,2.941,207.564.000,50.6,42.0,21.0,63.0,6.4,17.4
29,GENIL,"GENIL - Gen İlaç 
	Hisse Senedi",2026/6,June,2.718.310.756,False,60.625.100.000,0.0448380416032303,0.2199524000242985,55.530,5.095,1.323.469.361,9.9,51.0,15.0,66.0,48.7,41.2
30,GLYHO,"GLYHO - Global Yatırım Holding 
	Hisse Senedi",2026/6,June,6.850.712.606,False,99.898.000.000,0.0685770746761696,0.1378048929509385,32.428,67.470,4.108.323.303,1.4,36.0,31.0,67.0,60.0,135.7
31,ASTOR,"ASTOR - Astor Enerji 
	Hisse Senedi",2026/6,June,11.095.868.713,False,289.716.600.000,0.0382990436619786,0.250691893898908,299.150,-9.434,1.474.499.832,212.9,55.0,13.0,68.0,13.3,-21.3
32,GLRMK,"GLRMK - Gülermak Ağır Sanayi 
	Hisse Senedi",2026/6,June,5.418.533.643,False,55.426.100.000,0.0977614092097405,0.109466610434349,55.810,-384,1.645.441.270,14.6,26.0,42.0,68.0,30.4,-0.8
33,BRYAT,"BRYAT - Borusan Yatırım 
	Hisse Senedi",2026/6,June,4.163.923.318,False,47.041.175.000,0.0885165669862625,0.119864435249908,47.784,-743,,2.2,31.0,38.0,69.0,,-2.1
34,HEDEF,"HEDEF - Hedef Holding 
	Hisse Senedi",2026/6,June,2.881.775.838,False,122.058.400.000,0.0236098116803104,0.3662172590973192,121.080,978,67.097.377,12.4,67.0,3.0,70.0,2.3,12.4
35,CWENE,"CWENE - Cw Enerji 
	Hisse Senedi",2026/6,June,2.885.181.811,False,45.117.599.298,0.0639480348222847,0.1268072742801708,35.691,9.426,2.546.088.301,59.6,39.0,33.0,72.0,88.2,41.4
36,ARMGD,"ARMGD - Armada Gıda 
	Hisse Senedi",2026/6,June,2.134.727.930,False,55.594.060.170,0.038398489397469,0.1949223304141951,50.156,5.438,1.186.724.645,5.4,54.0,18.0,72.0,55.6,49.7
37,DOAS,"DOAS - Doğuş Otomotiv 
	Hisse Senedi",2026/6,June,7.663.350.000,False,68.461.300.000,0.1119369629265,0.0840936725391831,36.234,32.227,9.457.316.000,4.5,21.0,53.0,74.0,123.4,35.4
38,AHGAZ,"AHGAZ - Ahlatçı Doğalgaz 
	Hisse Senedi",2026/6,June,12.379.245.880,False,164.548.200.000,0.0752317307633872,0.1049528879483869,99.892,64.656,1.291.438.011,4.0,32.0,44.0,76.0,10.4,54.8
